"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070098","chemokine-mediated signaling pathway","12/220","85/28928",0.141176470588235,18.563422459893,14.1958030375224,2.23678704610583e-12,4.59949002130986e-09,3.31280832797561e-09,"Ccl3/Ccl8/Ccr1/Cxcl1/Cxcl5/Cxcl10/Ccl5/Trem2/Ccl7/Ppbp/Ccl11/Ccl2",12
"GO:0006953","acute-phase response","10/220","51/28928",0.196078431372549,25.7825311942959,15.5065892294457,5.13037033332903e-12,4.59949002130986e-09,3.31280832797561e-09,"Saa3/Hp/Serpina3n/Il6/Il1a/Saa2/Ccl5/Ptgs2/Ptges/Orm1",10
"GO:0050900","leukocyte migration","21/220","409/28928",0.0513447432762836,6.75136697043787,10.2547990813697,7.48893635924455e-12,4.59949002130986e-09,3.31280832797561e-09,"Ccl3/S100a8/Itgb7/Il1a/Ccl8/Ccr1/Cxcl1/Ptn/Cxcl5/Itgb2/Cxcl10/Ccl5/Trem2/Ccl7/Ppbp/Ccl11/Mmp9/Aoc3/Ccl2/F7/Dbh",21
"GO:0019730","antimicrobial humoral response","16/220","210/28928",0.0761904761904762,10.018354978355,11.4821032308718,7.5052901467463e-12,4.59949002130986e-09,3.31280832797561e-09,"Ccl3/Kng1/Kng2/Wfdc21/Ccl8/Cxcl1/Slpi/Cxcl5/Adm/Camp/Cxcl10/Ccl5/Ccl7/Ppbp/Ccl11/Ccl2",16
"GO:1901342","regulation of vasculature development","19/220","326/28928",0.0582822085889571,7.66358059118795,10.5920451386051,8.79568510617378e-12,4.59949002130986e-09,3.31280832797561e-09,"Prl2c2/Il1a/Adm2/Ptn/Angptl7/Adm/Cd40/Itgb2/Dcn/Camp/Smoc2/Cxcl10/Ccl5/Klf4/Hmox1/Ccl11/Mmp9/Ccl2/Hk2",19
"GO:1990868","response to chemokine","12/220","96/28928",0.125,16.4363636363636,13.2618710882633,9.87015026032159e-12,4.59949002130986e-09,3.31280832797561e-09,"Ccl3/Ccl8/Ccr1/Cxcl1/Cxcl5/Cxcl10/Ccl5/Trem2/Ccl7/Ppbp/Ccl11/Ccl2",12
"GO:1990869","cellular response to chemokine","12/220","96/28928",0.125,16.4363636363636,13.2618710882633,9.87015026032159e-12,4.59949002130986e-09,3.31280832797561e-09,"Ccl3/Ccl8/Ccr1/Cxcl1/Cxcl5/Cxcl10/Ccl5/Trem2/Ccl7/Ppbp/Ccl11/Ccl2",12
"GO:0060326","cell chemotaxis","19/220","337/28928",0.056379821958457,7.41343404370111,10.3669852320407,1.56323969526615e-11,6.37410985744772e-09,4.59098815767637e-09,"Ccl3/Saa3/S100a8/Ccl8/Ccr1/Cxcl1/Ptn/Cxcl5/Itgb2/Enpp2/Smoc2/Cxcl10/Ccl5/Ccl7/Ppbp/Ccl11/Mmp9/Ccl2/F7",19
"GO:0006935","chemotaxis","22/220","481/28928",0.0457380457380457,6.01413721413721,9.70760475399774,2.21079145347657e-11,7.81281802590195e-09,5.62722573616869e-09,"Ccl3/Saa3/S100a8/Ccl8/Ccr1/Cxcl1/Ptn/Cxcl5/Itgb2/Enpp2/Smoc2/Cxcl10/Ccl5/Trem2/Ccl7/Rtn4r/Sema3g/Ppbp/Ccl11/Mmp9/Ccl2/F7",22
"GO:0042330","taxis","22/220","483/28928",0.0455486542443064,5.98923395445135,9.6797922180137,2.39510055974922e-11,7.81281802590195e-09,5.62722573616869e-09,"Ccl3/Saa3/S100a8/Ccl8/Ccr1/Cxcl1/Ptn/Cxcl5/Itgb2/Enpp2/Smoc2/Cxcl10/Ccl5/Trem2/Ccl7/Rtn4r/Sema3g/Ppbp/Ccl11/Mmp9/Ccl2/F7",22
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","14/220","164/28928",0.0853658536585366,11.2248337028825,11.4951622819455,3.45344227721624e-11,1.02410260984358e-08,7.37615613659967e-09,"Ccl3/Kng1/Kng2/Ccl8/Cxcl1/Cxcl5/Adm/Camp/Cxcl10/Ccl5/Ccl7/Ppbp/Ccl11/Ccl2",14
"GO:0045765","regulation of angiogenesis","18/220","319/28928",0.0564263322884013,7.4195497292676,10.092764496182,5.38999774980502e-11,1.46518105498866e-08,1.0553048225934e-08,"Prl2c2/Il1a/Adm2/Ptn/Adm/Cd40/Itgb2/Dcn/Camp/Smoc2/Cxcl10/Ccl5/Klf4/Hmox1/Ccl11/Mmp9/Ccl2/Hk2",18
