"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"Ap3b1",1815,3451,3056,3414,3894,3957,3756,3676
"Ap3b2",1,0,1,1,0,0,1,0
"Ap3d1",3245,6650,5981,5961,6844,6883,7203,6238
"Ap3m1",1585,2903,2759,3102,3194,3250,2842,3129
"Ap3m2",451,882,883,886,905,911,853,762
"Ap3s1",2165,4842,3993,4161,5050,6513,7518,6813
"Ap3s2",1057,2163,2179,2035,2159,2170,2229,2099
"Ap4b1",508,892,1028,972,951,975,950,1071
"Ap4e1",432,1251,784,1049,1135,1245,1011,1124
"Ap4m1",290,544,505,516,491,495,521,552
"Ap4s1",195,371,476,403,391,377,391,399
"Ap5b1",108,303,212,207,259,284,301,274
"Ap5m1",243,501,377,428,487,476,420,458
"Ap5s1",367,723,869,737,746,766,857,736
"Ap5z1",256,644,503,482,616,771,816,693
"Apaf1",737,1449,1292,1487,1618,1538,1365,1334
"Apba1",43,136,90,89,99,121,130,124
"Apba2",0,0,1,0,0,1,1,0
"Apba3",1305,2479,2199,2133,2382,2788,2824,2474
"Apbb1",993,1933,2177,1943,1838,1919,1976,1751
"Apbb1ip",983,1871,2061,2199,1998,2183,2312,2136
"Apbb2",1707,3512,3034,3519,3675,3902,3460,3186
"Apbb3",231,476,539,429,484,570,652,551
"Apc",562,1981,1122,1276,1730,1795,1670,1729
"Apc2",76,186,107,126,163,195,156,142
"Apcdd1",144,328,166,218,290,306,339,386
"Apeh",1345,2724,2679,2478,2584,2563,2636,2559
"Apex1",475,571,764,677,577,494,640,656
"Apex2",240,346,506,441,346,287,297,354
"Aph1a",2148,2470,2471,2391,2472,2448,2641,2413
"Aph1b",488,831,778,925,907,860,805,863
"Aph1c",53,96,98,88,103,116,92,91
"Api5",4037,7046,7776,8256,7690,7285,7178,7700
"Apip",347,626,662,688,612,584,511,603
"Apitd1",156,226,223,245,221,167,143,185
"Aplf",316,574,614,617,589,581,625,628
"Apln",656,2011,601,1014,1685,3465,4460,3188
"Aplnr",42,63,109,74,110,36,23,137
"Aplp1",489,917,1033,970,899,882,1005,1042
"Aplp2",5246,11736,11061,11224,11901,14388,14538,12159
"Apmap",1132,2064,2355,2325,2003,1934,2026,2118
